occ_year,occ_month,occ_dow,occ_day,occ_hour,division,premises_type,bike_make,bike_type,bike_colour,bike_cost
2014,April,Tuesday,22,12,D33,Outside,SUPERCYCLE,MT,RED,300
2014,April,Monday,21,14,D52,Outside,DAVINCI,OT,BLK,500
2014,April,Monday,21,10,D14,Outside,DAHON,FO,SIL,1200
2014,April,Saturday,19,19,D11,House,KO,RG,DGR,600
2014,April,Friday,11,12,D11,House,MANHATTAN,TO,BLK,350
2014,April,Tuesday,22,15,D43,Commercial,JAMIS,RG,BLKWHI,600
2014,February,Thursday,27,21,D51,Apartment,UK,RG,BLU,900
2014,April,Tuesday,22,16,D11,House,KO,OT,BLU,1000
2014,April,Sunday,20,12,D52,Commercial,HF,MT,PLE,300
2014,April,Friday,11,15,D52,Apartment,PUREFIX,OT,BLK,450
2014,April,Wednesday,23,21,D53,Commercial,OTHER,MT,GRY,2000
2014,April,Saturday,12,17,D51,Apartment,UK,EL,DBL,1500
2014,April,Tuesday,22,16,D53,Educational,PEUGEOT,RG,GRN,350
2014,April,Tuesday,22,20,D52,Educational,OTHER,RG,DGR,150
2014,April,Monday,21,20,D52,Educational,DIAMONDBACK,OT,GLD,2000
2014,April,Tuesday,22,18,D52,Educational,CCM,RG,RED,100
2014,April,Wednesday,23,19,D55,Other,SC,MT,None,650
2014,April,Sunday,20,8,D55,House,GI,MT,WHI,3000
2013,December,Wednesday,25,12,D53,Commercial,MARIN OR MARINO,RC,BLUGRY,1300
2014,April,Friday,25,14,D14,Apartment,OT,RG,SIL,789.87
2014,April,Friday,25,9,D51,Outside,KHS,OT,RED,960
2014,April,Thursday,24,11,D14,House,UNKNOWN MAKE,TO,GLD,10
2014,April,Friday,25,18,D51,Educational,NO,MT,BLU,300
2014,April,Sunday,27,10,D13,House,KONA,MT,BLK,500
2014,April,Tuesday,22,14,D53,House,OTHER,SC,BLUONG,150
2014,April,Saturday,26,2,D51,House,NORCO,OT,BLK,465
2014,April,Saturday,26,10,D11,Outside,FUJI,OT,BLK,800
2014,April,Monday,28,21,D52,Commercial,UK,MT,TRQ,350
2014,April,Friday,25,11,D11,House,RA,RG,GRY,320
2014,April,Monday,28,17,D51,Outside,CCM,RC,BLKRED,500
2014,April,Tuesday,22,17,D14,Apartment,CIPHER,MT,RED,200
2014,April,Monday,28,15,D22,Outside,CC,MT,BLK,399.99
2014,April,Tuesday,22,16,D53,Outside,PEUGEOT,RG,GREEN,350
2014,April,Wednesday,30,14,D14,Outside,OT,RC,BLK,700
2014,April,Wednesday,30,12,D51,Outside,KIWI,EL,YEL,870
2014,April,Sunday,27,9,D52,Educational,OTHER,RG,BLKRED,620
2014,March,Sunday,2,12,D55,House,OTHER,MT,BLK,500
2014,April,Saturday,26,13,D51,Apartment,OTHER,OT,GRN,130
2014,May,Thursday,1,9,D14,Educational,GI,MT,BLK,800
2014,March,Sunday,2,12,D55,House,OTHER,MT,MRN,500
2014,April,Wednesday,30,20,D13,House,PIERROT,OT,BLKONG,2500
2014,May,Friday,2,16,D52,Apartment,EM,EL,RED,1000
2014,May,Saturday,3,9,D13,Outside,OTHER,OT,PLE,700
2014,May,Saturday,3,12,D51,Commercial,TR,RG,BLK,700
2014,May,Thursday,1,16,D53,House,GT,RC,GRN,649
2014,May,Thursday,1,16,D53,House,UNKNOWN MAKE,RC,BLU,4319
2014,May,Friday,2,18,D41,Other,DIAMONDBACK,OT,BLK,1200
2014,May,Sunday,4,8,D51,Outside,UNKNOWN,EL,YEL,1000
2014,May,Sunday,4,9,D51,Outside,OT,MT,BLK,800
2014,May,Monday,5,9,D52,Outside,GARY FISHER,MT,RED,2000
2014,May,Monday,5,14,D51,Outside,SUPERCYCLE,OT,BLU,375
2014,April,Monday,28,10,D51,Outside,OT,MT,None,3500
2014,May,Monday,5,16,D43,Commercial,UNKNOWN MAKE,OT,GRN,160
2014,May,Sunday,4,22,D51,Outside,RALEIGH,OT,BLK,150
2014,April,Saturday,19,19,D33,Outside,SCHWINN,MT,PLE,237
2013,October,Tuesday,1,16,D51,Apartment,GI,RG,BLK,1106.27
2014,May,Monday,5,18,D51,Outside,MA,RG,BLU,350
2014,May,Sunday,4,22,D51,Outside,MCKINELY,OT,BLK,150
2014,May,Monday,5,8,D23,Educational,OT,BM,BLK,250
2014,May,Tuesday,6,8,D51,Other,OT,RC,DBL,350
2014,May,Wednesday,7,10,D52,Outside,OT,MT,BLK,500
2014,May,Wednesday,7,17,D55,Outside,SCOTT ASPECT 10,MT,SIL,3000
2014,May,Monday,5,3,D55,Educational,SU,MT,BLU,100
2014,May,Tuesday,6,11,D51,Outside,OT,RG,BGE,300
2014,May,Wednesday,7,18,D22,Outside,UK,MT,ONG,550
2014,May,Tuesday,6,9,D52,Outside,TR,RG,DBL,650
2014,May,Wednesday,7,19,D52,Commercial,TR,TO,BLK,550
2014,May,Wednesday,7,11,D52,Outside,MA,OT,SIL,479.99
2014,May,Wednesday,7,14,D12,Outside,MIELE,MT,WHI,800
2014,May,Tuesday,6,22,D14,Apartment,GI,OT,BLK,100
2014,May,Sunday,4,23,D14,Apartment,GI,OT,BLK,100
2014,May,Thursday,1,17,D14,Apartment,NORCO,MT,GRY,500
2014,April,Saturday,19,18,D14,Other,DEVINCI,MT,BLK,1300
2014,May,Thursday,1,19,D52,Outside,SUPERCYCLE,MT,BLU,250
2014,May,Wednesday,7,23,D14,Apartment,OT,TO,BLK,1500
2014,May,Thursday,8,9,D52,Outside,UK,MT,CPR,350
2014,May,Thursday,8,19,D52,Outside,GT,MT,REDWHI,550
2014,May,Thursday,8,14,D11,Educational,BI,RC,LBL,300
2014,May,Monday,5,8,D53,Other,CANNONDALE,RG,RED,2400
2014,May,Wednesday,7,21,D33,House,CCM,MT,GRNBLK,250
2014,May,Thursday,8,12,D53,Outside,GIANT,MT,GRYRED,1300
2014,April,Wednesday,30,18,D14,Outside,OTHER,SC,BLU,400
2014,May,Monday,5,8,D53,Other,OTHER,MT,WHIRED,3500
2014,May,Friday,9,8,D43,Transit,GIANT,MT,BLK,600
2014,May,Wednesday,7,17,D51,Outside,OTHER,MT,ONG,700
2014,May,Friday,9,15,D52,Outside,FUJI,OT,RED,840
2014,May,Thursday,8,21,D22,House,OTHER,MT,BLK,200
2014,May,Friday,9,7,D53,House,NORCO,OT,GRY,400
2013,October,Thursday,31,9,D13,Outside,OT,EL,BLU,1500
2014,May,Thursday,8,9,D14,Outside,DB,MT,DGR,250
2014,May,Thursday,8,7,D13,Other,NO,RG,SIL,425
2014,May,Friday,9,13,D51,Educational,GIANT,OT,SIL,550
2014,May,Friday,9,10,D51,Outside,OTHER,EL,BLK,1000
2014,May,Thursday,8,21,D22,House,OTHER,MT,BLKYEL,450
2014,May,Saturday,10,14,D14,Outside,OT,RC,RED,1000
2014,May,Saturday,10,16,D41,Commercial,IRON HORSE,MT,BLU,500
2014,February,Wednesday,19,19,D14,House,TREK,MT,GRN,700
2014,May,Friday,9,18,D11,House,UNKNOWN,OT,GRNBLK,200
2014,February,Wednesday,19,19,D14,House,MARIN OR MARINO,RC,GRY,700
2014,May,Saturday,10,15,D52,Outside,UK,RC,WHI,700
2014,May,Friday,9,17,D14,Apartment,OT,OT,BLK,600
2014,May,Wednesday,7,1,D52,Outside,SC,RG,BLU,300
2014,May,Saturday,10,11,D52,Outside,CR,MT,BLU,300
2014,May,Sunday,11,7,D55,Commercial,SC,MT,DGR,399
2014,May,Sunday,11,14,D52,Apartment,SC,MT,PLE,260
2014,May,Sunday,11,18,D52,Other,MONGOOSE,MT,BLU,200
2014,April,Sunday,20,12,D53,Other,TRANSITION,MT,BLU,6000
2014,May,Friday,9,8,D11,Other,OTHER,MT,GRY,300
2014,May,Monday,12,8,D32,Other,OT,TO,None,1249
2014,May,Sunday,11,2,D51,Apartment,KHS,RG,BLK,700
2014,May,Sunday,11,19,D55,Other,RALEIGH,OT,BLU,650
2014,May,Sunday,11,19,D55,Other,SCOTT,OT,WHI,1600
2014,May,Friday,9,7,D52,Commercial,EM,EL,BLK,1295
